Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
3,444589,36.921959,-1.229782,0.139962128,-85,0,-10,0.139962128,0
3,72474474,36.705093,-1.225662,0.139962418,-85,0,-10,0.139962418,0
2,661,36.941414,-1.173019,0.139965058,-85,0,-10,0.139965058,0
2,16807,35.296669,0.515671,0.139988752,-85,0,-10,0.139988752,0
2,15942,39.849266,-3.621986,0.140505492,-85,0,-10,0.140505492,0
2,11396,39.670944,-4.07095,0.140528678,-85,0,-10,0.140528678,0
2,635,36.762631,-1.290207,0.140848281,-85,0,-10,0.140848281,0
3,196863280,39.668655,-4.045029,0.140865781,-85,0,-10,0.140865781,0
2,34,34.754562,-0.100021,0.140937517,-85,0,-10,0.140937517,0
2,630,36.770105,-1.29102,0.140965651,-85,0,-10,0.140965651,0
3,72459884,36.668138,-1.349998,0.141079187,-85,0,-10,0.141079187,0
2,7911,36.884009,-1.330032,0.141179545,-85,0,-10,0.141179545,0
3,19757678,36.859474,-1.296043,0.141297884,-85,0,-10,0.141297884,0
3,196797960,39.846922,-3.621074,0.141324066,-85,0,-10,0.141324066,0
3,413379,36.684821,-1.249008,0.141739862,-85,0,-10,0.141739862,0
3,65641826,36.820581,-1.269804,0.14187711,-85,0,-10,0.14187711,0
3,489105,36.906975,-1.354007,0.14935157,-85,0,-10,0.14935157,0
3,171477,39.6723175,-4.077987671,0.149463921,-85,0,-10,0.149463921,0
3,369821,37.076375,0.01611,0.149602638,-85,0,-10,0.149602638,0
3,33084885,35.123316,0.824661,0.149875236,-85,0,-10,0.149875236,0
3,196666315,39.559982,-4.361984,0.149960303,-85,0,-10,0.149960303,0
3,20285237,36.798477,-1.294327,0.149963668,-85,0,-10,0.149963668,0
3,33678268,40.123306,-3.22847,0.150185301,-85,0,-10,0.150185301,0
2,12210,36.377204,-0.261416,0.150198683,-85,0,-10,0.150198683,0
3,33721805,35.929642,-0.371933,0.150199433,-85,0,-10,0.150199433,0
3,196659101,39.670949,-4.07135,0.15029583,-85,0,-10,0.15029583,0
2,12601,35.506439,0.670166,0.150304105,-85,0,-10,0.150304105,0
3,98479287,36.832695,-1.30806,0.150407536,-85,0,-10,0.150407536,0
2,14771,36.887741,-1.216278,0.150640153,-85,0,-10,0.150640153,0
3,512043,37.07974,-1.50032,0.151444714,-85,0,-10,0.151444714,0
2,13986,39.39216614,-4.531173706,0.152225605,-85,0,-10,0.152225605,0
2,9252,39.38804626,-4.532546997,0.152226375,-85,0,-10,0.152226375,0
2,9305,39.47319031,-4.49546814,0.152233094,-85,0,-10,0.152233094,0
3,196663251,39.563828,-4.294281,0.152242034,-85,0,-10,0.152242034,0
3,631599,39.570694,-4.286728,0.152243543,-85,0,-10,0.152243543,0
3,184764,39.56108093,-4.341659546,0.152264676,-85,0,-10,0.152264676,0
2,22140,39.56794739,-4.337539673,0.152265475,-85,0,-10,0.152265475,0
3,196637476,39.54322815,-4.329299927,0.152267162,-85,0,-10,0.152267162,0
3,182755,39.56794739,-4.329299927,0.152267162,-85,0,-10,0.152267162,0
2,7071,39.57481384,-4.312820435,0.152270506,-85,0,-10,0.152270506,0
4,8068098,39.55696106,-4.301834106,0.152272667,-85,0,-10,0.152272667,0
2,7073,39.55833435,-4.300460815,0.152272933,-85,0,-10,0.152272933,0
2,15160,39.56108093,-4.296340942,0.152273821,-85,0,-10,0.152273821,0
2,15742,39.356461,-4.128799,0.152274383,-85,0,-10,0.152274383,0
2,7186,39.57344055,-4.288101196,0.152275449,-85,0,-10,0.152275449,0
2,14485,39.57481384,-4.283981323,0.152276248,-85,0,-10,0.152276248,0
3,196666545,39.57618713,-4.283981323,0.152276248,-85,0,-10,0.152276248,0
3,196658730,39.5665741,-4.282608032,0.152276484,-85,0,-10,0.152276484,0
2,10675,39.5665741,-4.27986145,0.152277076,-85,0,-10,0.152277076,0
3,196663004,39.56932068,-4.26612854,0.152279799,-85,0,-10,0.152279799,0
4,7953154,39.59953308,-4.25239563,0.152282521,-85,0,-10,0.152282521,0
3,631595,39.57344055,-4.246902466,0.152283586,-85,0,-10,0.152283586,0
3,196658581,39.57344055,-4.245529175,0.152283853,-85,0,-10,0.152283853,0
