Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
580,47.40384812,8.534614657,40.10915059,2520,1000,3,1
5552,47.40388089,8.173904402,41.49129473,2520,1000,3,1
10501,47.40395446,8.547044573,6.36572595,2520,1000,3,1
11787,47.40401257,8.489796253,7.400130229,2518,1000,3,1
3869,47.40403578,8.556347219,7.732072254,2520,1000,3,1
8886,47.4041969,8.625883232,7.444385473,2520,1000,3,1
10535,47.40419962,8.558934266,1.455710447,2520,1000,3,1
10064,47.40425188,8.572025682,0.037760507,2519,2890,3,1
10552,47.40436568,8.572346088,124.1873705,2525,1000,3,0
10883,47.40441563,7.455502234,204.861062,2525,1000,3,0
105,47.40443295,9.297862027,74.84487676,2525,1000,3,0
8510,47.40459516,8.624765898,173.4496621,2525,1000,3,0
5823,47.40461832,7.064895611,163.6672887,2525,1000,3,0
4314,47.40465501,8.5367909,1.296504447,2525,1000,3,1
2791,47.40466957,8.548450636,41.74648512,2525,1000,3,1
719,47.40475002,8.173015484,6.589497484,2525,1000,3,1
3455,47.4047694,8.113754712,49.27175561,2525,1000,3,1
2024,47.40477735,8.556866256,89.17029652,2525,1000,3,0
4423,47.40480378,9.358793998,97.22589117,2520,1000,3,0
6549,47.40486189,8.484420554,9.661679388,2525,1000,3,1
6235,47.40487057,8.571310124,80.31508668,2525,1000,3,0
3885,47.40498727,9.293601042,81.13243599,2525,1000,3,0
1839,47.40500534,8.563959516,113.2684634,2525,1000,3,0
9007,47.40509686,7.545311756,103.433336,2526,1000,3,0
251,47.40518503,8.47551009,39.4630474,2526,1000,3,1
12807,47.40525085,8.120610384,55.57057497,2526,22273,3,1
7408,47.40526088,8.620368572,15.42814262,2526,1000,3,1
705,47.40528297,8.481619953,8.393108722,2526,1000,3,1
8014,47.40529178,8.406138914,119.2125386,2525,1000,3,0
11826,47.40531177,9.47824303,19.94929398,2525,1000,3,1
6597,47.40534395,9.298834722,80.93274186,2526,1000,3,0
6201,47.40535045,8.570989088,2.502196926,2526,1000,3,1
6173,47.40554157,8.593491092,76.75197671,2525,1000,3,0
3858,47.40555462,7.903243983,20.59911458,2526,8834,3,1
7206,47.40564613,7.717991717,81.05252361,2526,1000,3,0
12212,47.40569886,8.446914572,152.5474259,2526,1000,3,0
3303,47.40576603,7.075022614,162.5013044,2525,1000,3,0
11585,47.40588175,8.53643195,15.45586763,2526,1000,3,1
