Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,9/15/2018 10:00,Manhattan,Park,Thomas Jefferson Park,Jefferson Track Day,Community Based Event,Fitness,,General Public,82,2
Recreation,,9/22/2018 19:30,Manhattan,Playground,Baruch Playground,Movies Under the Stars - Black Panther,Community Based Event,Mobile Unit,Movies,General Public,139,3
Recreation,,9/22/2018 11:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Family and Friends Day,Community Based Event,Family Festival,,General Public,120,3
Recreation,Alvin Ailey,9/22/2018 15:00,Manhattan,Park,Highbridge Park,ACF Alvin Ailey: Revelations,Community Based Event,Arts/Culture,Dance,General Public,15,1
Recreation,,9/21/2018 19:30,Manhattan,Playground,Courtney Callender Playground,Movies Under the Stars - Toy Story,Community Based Event,Mobile Unit,Movies,General Public,72,2
Recreation,,9/21/2018 18:00,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired By... Alma Thomas,Community Based Event,Arts/Culture,AC&F,General Public,16,1
Recreation,,9/21/2018 18:00,Manhattan,Park,James J Walker Park,Movies Under the Stars - Grease Sing Along,Community Based Event,Mobile Unit,AC&F,General Public,67,2
Recreation,,9/20/2018 19:30,Manhattan,Playground,Corlears Hook Playground,Movies Under the Stars - The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,111,3
Recreation,,9/19/2018 19:30,Manhattan,Playground,Poor Richard's Playground,Movies Under the Stars - Space Jam,Community Based Event,Mobile Unit,Movies,General Public,67,2
Recreation,,9/20/2018 19:00,Bronx,Playground,Slattery Playground,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,20,1
Recreation,,9/15/2018 20:00,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,Movies,General Public,67,2
Recreation,,9/14/2018 20:00,Queens,Park,Brookville Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,21,1
Recreation,,9/15/2018 19:00,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Honey I Shrunk The Kids,Community Based Event,Mobile Unit,Lecture/Panel/Talk,General Public,73,2
Recreation,Harlem Dance Club,9/15/2018 16:00,Manhattan,Park,Marcus Garvey Park,Harlem Dance Festival,Community Based Event,Arts/Culture,Dance,General Public,1426,5
Recreation,,9/15/2018 19:30,Manhattan,Playground,Matthews - Palmer Playground,Movies Under the Stars - Rogue One: A Star Wars Story,Community Based Event,Mobile Unit,Movies,General Public,55,2
Recreation,NYPD,6/2/2018 0:00,Manhattan,Park,Highbridge Park,,Community Based Event,Sport,,Teens,21,1
Recreation,Council Member Ben Kallos,9/14/2018 19:30,Manhattan,Park,John Jay Park,Skate Night,Community Based Event,Family Festival,,General Public,426,4
Recreation,Commissioner Castro's Office & Muslim Volunteers for NYC,9/14/2018 16:00,Manhattan,Park,Ruppert Park,Jazz Concert - Yasser Tejeda & Palotre,Community Based Event,Arts/Culture,AC&F,General Public,345,4
Recreation,,9/13/2018 19:30,Manhattan,Playground,Raoul Wallemberg Playground,Movies Under the Stars - Smurfs: The Lost Village,Community Based Event,Mobile Unit,Movies,General Public,37,1
Recreation,,9/13/2018 18:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,AC&F Paint Night,Community Based Event,Arts/Culture,AC&F,General Public,32,1
Recreation,,9/12/2018 19:30,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Movies Under the Stars - Drumline,Community Based Event,Mobile Unit,Movies,General Public,18,1
Recreation,Strictly Tango,9/11/2018 18:00,Manhattan,Park,Washington Square Park,Strictly Tango Nights!,Community Based Event,Arts/Culture,Dance,General Public,125,3
Recreation,,9/14/2018 19:00,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,42,1
Recreation,,9/13/2018 19:15,Bronx,Other,Belmont Field,Movies Under The Stars: Captain Underpants,Community Based Event,Mobile Unit,Movies,General Public,48,1
Recreation,,9/10/2018 20:30,Queens,Park,Baisley Pond,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/9/2018 20:30,Queens,Park,Elmhurst,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/8/2018 20:30,Queens,Playground,St. Albans,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/7/2018 20:30,Queens,Playground,Paul Raimonda,"Movies Under the Stars ""Brave""",Community Based Event,Mobile Unit,Movies,General Public,52,2
Recreation,,9/6/2018 20:30,Queens,Other,Beach 94th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/2/2018 20:30,Queens,Playground,Yellowstone Playground,"Movies Under the Stars ""The Little Mermaid""",Community Based Event,Mobile Unit,Movies,General Public,107,3
Recreation,,9/1/2018 20:30,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Lego: Batman""",Community Based Event,Mobile Unit,Movies,General Public,68,2
Recreation,,8/31/2018 20:30,Queens,Park,Addabbo,"Movies Under the Stars ""Lego: Batman""",Community Based Event,Mobile Unit,Movies,Teens,85,3
Recreation,,8/29/2018 20:30,Queens,Park,Grover Cleveland,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,112,3
Recreation,,9/8/2018 19:30,Bronx,Playground,Stars & Stripes Playground,Movies Under The Stars: Black Panther,Community Based Event,Family Festival,Movies,General Public,0,1
Recreation,Council Member Salamanca,9/8/2018 19:30,Bronx,Park,Vidalia Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/7/2018 20:00,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" School Daze""",Community Based Event,Mobile Unit,Movies,General Public,80,2
Recreation,,9/8/2018 19:30,Manhattan,Park,Carl Schurz Park,Movies Under the Stars - A Wrinkle in Time,Community Based Event,Mobile Unit,Movies,General Public,23,1
Recreation,,9/7/2018 19:30,Manhattan,Park,St. Nicholas Park,"Movies Under the Stars - Love, Beats, Rhymes",Community Based Event,Mobile Unit,Movies,General Public,115,3
Recreation,,9/7/2018 19:30,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Black Panther,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,9/5/2018 19:30,Manhattan,Playground,Sheltering Arms Playground,Movies Under the Stars - A Wrinkle in Time,Community Based Event,Mobile Unit,Movies,General Public,20,1
Recreation,,9/5/2018 19:30,Manhattan,Playground,St. Nicholas Playground South,Movies Under the Stars - The Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,15,1
Recreation,,9/4/2018 19:30,Manhattan,Park,Washington Market Park,Movies Under the Stars - A Wrinkle in Time,Community Based Event,Mobile Unit,Movies,General Public,278,4
Recreation,Strictly Tango,9/4/2018 18:00,Manhattan,Park,Washington Square Park,Dance Away the Night: Strictly Tango,Community Based Event,Fitness,Dance,General Public,256,4
Recreation,,9/7/2018 19:30,Bronx,Park,Concrete Plant Park,Movies Under The Stars: A Wrinkle In Time,Community Based Event,Mobile Unit,Movies,General Public,19,1
Recreation,,9/6/2018 19:30,Bronx,Playground,Flynn Playground,Movies Under The Stars: Space Jam,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,9/1/2018 11:00,Bronx,Other,2347 Lafayette Ave & Zerega,LTF Back 2 school,Community Based Event,Mobile Unit,Play,Children;#General Public,160,3
Recreation,,8/25/2018 11:00,Bronx,Other,158 St & Grand Concourse,Back To School Jam,Community Based Event,Mobile Unit,Play,Children;#General Public,300,4
Recreation,,8/18/2018 11:00,Bronx,Other,172 st & Bathgate Avenue,Back To School,Community Based Event,Mobile Unit,Play,Children;#General Public,40,2
Recreation,,9/6/2018 18:00,Manhattan,Other,Tony Dapolito Recreation Center,Roof Top Painting Workshop,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,33,2
Recreation,,9/1/2018 12:30,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Charlie and the Chocolate Factory,Community Based Event,Mobile Unit,Movies,General Public,95,3
Recreation,,8/31/2018 20:00,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Star Wars: The Force Awakens,Community Based Event,Mobile Unit,Movies,General Public,15,1
Recreation,,8/30/2018 20:00,Staten Island,Park,Timoshenko,Movies Under the Stars: The Wizard of Oz,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,8/29/2018 20:00,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bringing up Baby,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,,8/29/2018 20:00,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bringing up Baby,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,,8/25/2018 0:00,Staten Island,Park,Cedar Grove,Movies Under the Stars: Descendants 2,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,,8/25/2018 20:00,Staten Island,Park,Cedar Grove,Movies Under the Stars:,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,,8/25/2018 20:00,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Fate of the Furious,Community Based Event,Mobile Unit,Movies,General Public,15,1
Recreation,,8/24/2018 20:00,Staten Island,Park,Westerleigh Park,Movies Under the Stars: Paddington,Community Based Event,Mobile Unit,Movies,General Public,45,1
Recreation,,8/24/2018 20:00,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Tomb Raider,Community Based Event,Mobile Unit,Movies,General Public,30,1
Recreation,,8/23/2018 20:00,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: The Goonies,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,8/22/2018 20:30,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: His Girl Friday,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,,8/21/2018 0:00,Staten Island,Park,Lemon Creek Park,Movies Under the Stars: Pitch Perfect 3,Community Based Event,Mobile Unit,Movies,General Public,40,1
Recreation,,8/17/2018 20:00,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Grease,Community Based Event,Mobile Unit,Movies,General Public,2,1
Recreation,,8/17/2018 20:30,Staten Island,Park,Von Briesen Park,Movies Under the Stars: The Lion King,Community Based Event,Mobile Unit,Movies,General Public,40,1
Recreation,,8/15/2018 20:30,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: A Funny thing Happened...,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,,8/10/2018 20:30,Staten Island,Park,Westerleigh Park,Movies Under the Stars: The incredibles,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,8/10/2018 0:00,Staten Island,Park,Timoshenko,Movies Under the Stars: Dunkirk,Community Based Event,Mobile Unit,Movies,General Public,36,1
Recreation,,8/9/2018 21:00,Staten Island,Park,Conference House Park,Movies Under the Stars: Back to the future 2,Community Based Event,Mobile Unit,Movies,General Public,35,1
Recreation,,8/4/2018 0:00,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Paddington,Community Based Event,Mobile Unit,Movies,General Public,40,1
Recreation,,8/4/2018 21:00,Staten Island,Park,Midland Field,Movies Under the Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,8/31/2018 20:00,Brooklyn,Park,Maria Hernandez Park,"Movies Under the Stars "" Teenage Mutant Ninja Turtles""",Community Based Event,Mobile Unit,Movies,General Public,300,4
Recreation,,9/1/2018 20:00,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars - Wrinkle in Time,Community Based Event,Mobile Unit,Movies,General Public,276,4
Recreation,,8/31/2018 18:00,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars - Sherlock Gnomes,Community Based Event,Mobile Unit,Movies,General Public,58,2
Recreation,,8/30/2018 20:00,Manhattan,Park,Washington Square Park,Movies Under the Stars - Autumn Sonata,Community Based Event,Mobile Unit,Movies,General Public,855,5
Recreation,,8/29/2018 20:00,Manhattan,Park,Morningside Park,Movies Under the Stars - Jumanji,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,Strictly Tango,8/28/2018 18:00,Manhattan,Park,Washington Square Park,Strictly Tango,Community Based Event,Fitness,Dance,General Public,185,3
Recreation,,8/28/2018 20:00,Manhattan,Playground,Sol Lain Playground,Movies Under the Stars - Isle of Dogs,Community Based Event,Mobile Unit,Movies,General Public,87,2
Recreation,,9/1/2018 19:30,Bronx,Park,Joyce Kilmer Park,Movies Under The Stars: Avenger's: Age Of Ultron,Community Based Event,Mobile Unit,Movies,General Public,145,3
Recreation,,8/31/2018 19:30,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,78,2
Recreation,,8/29/2018 20:00,Brooklyn,Playground,Colonel David Marcus Playground,"Movies Under the Stars "" Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,250,4
Recreation,,8/2/2018 20:00,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor Ragnarok""",Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,8/30/2018 19:30,Bronx,Playground,Allerton Playground,Movies Under The Stars: The Jungle Book,Community Based Event,Mobile Unit,Movies,General Public,16,1
Recreation,,8/29/2018 19:30,Bronx,Nature Center,Van Cortlandt Nature Center,Movies Under The Star's: A Wrinkle In Time,Community Based Event,Family Festival,Lecture/Panel/Talk,General Public,21,1
Recreation,Council Member Salalmanca,8/27/2018 20:00,Bronx,Playground,Melrose Playground,Movies Under The Stars: Avenger's: Infinity Wars,Community Based Event,Mobile Unit,Movies,General Public,188,3
Recreation,,8/28/2018 20:00,Brooklyn,Park,Paerdegat Park,Movies Under the Stars : The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,120,3
Recreation,,8/28/2018 20:30,Queens,Park,Wayanda Park,"Movies Under the Stars ""Avengers: Infinity War""",Community Based Event,Mobile Unit,Movies,General Public,61,2
Recreation,,8/27/2018 20:00,Brooklyn,Playground,Thomas Greene Playground,"Movies Under the Stars "" Diary of a Wimpy kid""",Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,8/26/2018 20:00,Brooklyn,Park,Kelly Park,"Movies Under the Stars "" The Lion King""",Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,,8/25/2018 20:00,Brooklyn,Park,Brower Park,"Movies Under the Stars "" Marley""",Community Based Event,Mobile Unit,Movies,General Public,175,3
Recreation,,8/24/2018 20:00,Brooklyn,Park,Prospect Park,"Movies Under the Stars : Caribbean Film Festival""",Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,8/23/2018 20:00,Brooklyn,Park,Canarsie Park,"Movies Under the Stars "" Pan the music Oddessy""",Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,8/22/2018 0:00,Brooklyn,Playground,Harry Maze Playground,"Movies Under the Stars  "" Black Panther """,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,8/21/2018 20:00,Brooklyn,Park,Carroll Park,"Movies Under the Stars ""Everything Everything""",Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,8/27/2018 20:30,Queens,Park,Highland Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,241,3
Recreation,,8/26/2018 20:30,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Princess Bride""",Community Based Event,Mobile Unit,Movies,General Public,169,3
Recreation,Aridia Espinal,8/25/2018 20:30,Queens,Park,Park of the Americas,"Movies Under the Stars ""Zootopia""",Community Based Event,Mobile Unit,Movies,General Public,203,3
Recreation,,8/24/2018 20:00,Bronx,Other,Orchard Beach,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,500,4
Recreation,,8/25/2018 20:00,Bronx,Park,Henry Hudson Park,Movies Under The Stars: Daddy's Home 2,Community Based Event,Mobile Unit,Movies,General Public,23,1
Recreation,,8/25/2018 18:00,Manhattan,Playground,Martin Luther Kings JR Playground,Movies Under the Stars: A Balletrina's Tale,Community Based Event,Mobile Unit,Movies,General Public,52,2
Recreation,,8/24/2018 20:00,Manhattan,Playground,Carmansville Playground,Movies Under the Stars: Spider-Man Homecoming,Community Based Event,Mobile Unit,Movies,General Public,101,3
Recreation,,8/24/2018 20:00,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars: Daniel Le's The Butler,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,8/22/2018 20:00,Manhattan,Playground,Booker T. Washington Playground,Movies Under the Stars: Thor Ragnarok,Community Based Event,Mobile Unit,Movies,General Public,101,3
Recreation,,8/24/2018 20:30,Queens,Park,Crocheron Park,"Movies Under the Stars ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,284,4
Recreation,,8/22/2018 20:30,Queens,Park,Unisphere - FMCP,"Movies Under the Stars ""Star Wars: The Last Jedi""",Community Based Event,Mobile Unit,Movies,General Public,212,3
Recreation,,8/21/2018 20:30,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Movies Under the Stars ""Paddington""",Community Based Event,Mobile Unit,Movies,General Public,37,1
Recreation,,8/20/2018 20:30,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,Movies,General Public,259,3
Recreation,,8/19/2018 20:30,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Saving Jamaica Bay""",Community Based Event,Mobile Unit,Movies,General Public,62,2
Recreation,,8/18/2018 20:30,Queens,Park,Roy Wilkins,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/17/2018 20:30,Queens,Playground,Playground for All Children,"Movies Under the Stars ""Ferdinand""",Community Based Event,Mobile Unit,Movies,General Public,98,3
Recreation,,8/23/2018 18:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Paint Night,Community Based Event,Arts/Culture,,Adults;#Teens;#Adaptive;#Seniors,42,2
Recreation,,8/23/2018 11:00,Manhattan,Park,Highbridge Park,Summer Camp Finale,Community Based Event,Academic/Out of School time,,Children;#Teens,360,4
Recreation,,8/23/2018 20:00,Manhattan,Playground,Alfred E. Smith Playground,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,115,3
Recreation,,8/21/2018 20:00,Manhattan,Playground,Col. Young Playground,Movies Under the Stars: The BFG,Community Based Event,Mobile Unit,Movies,General Public,57,2
Recreation,,8/22/2018 20:00,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,52,2
Recreation,,8/21/2018 20:00,Bronx,Recreation Center,Poe Park Visitor Center,Movies Under The Stars: Singing In The Rain,Community Based Event,Mobile Unit,Movies,General Public,34,2
Recreation,Council Member Salamanca,8/20/2018 20:00,Bronx,Park,Rainey Park,Movies Under The Stars: jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,Strictly Tango,8/21/2018 18:00,Manhattan,Park,Washington Square Park,Dance Away the Nights with Strictly Tango,Community Based Event,Arts/Culture,Dance,General Public,315,4
Recreation,,6/14/2018 18:30,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Father's Day Recreation Night,Community Based Event,Family Festival,,Adults;#Teens;#Children;#Tot,30,2
Recreation,,3/30/2018 19:30,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Exhibition Basketball Game,Community Based Event,Sport,,General Public,18,1
Recreation,,3/22/2018 0:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Battle of the Paddles,Community Based Event,Fitness,,General Public,60,2
Recreation,,2/23/2018 10:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Exhibition Basketball Game,Community Based Event,Sport,,General Public,16,1
Recreation,,2/17/2018 0:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Love Your Body Fitness Marathon,Community Based Event,Fitness,,General Public,220,3
Recreation,,2/17/2018 11:00,Manhattan,Recreation Center,J. Hood Wright Recreation Center,First Annual Freeze Bowl,Community Based Event,Academic/Out of School time,,General Public,16,1
Recreation,,2/1/2018 8:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,National Girls Sports Day,Community Based Event,Sport,,General Public,650,4
Recreation,,1/30/2018 13:00,Manhattan,Recreation Center,Recreation Center 54,Cops VS kids Volleyball Game,Community Based Event,Fitness,,Children;#Teens,26,1
Recreation,,1/26/2018 19:30,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Exhibition Basketball Game,Community Based Event,Fitness,,General Public,15,1
Recreation,,1/19/2018 15:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,3-Point Context and & 3 on 3 Tournament,Tournament/Competition,Fitness,,General Public,16,1
Recreation,,1/15/2018 16:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,MLK Day of Service,Community Based Event,Academic/Out of School time,,General Public,20,1
Recreation,,1/11/2018 18:00,Manhattan,Recreation Center,Hamilton Fish Recreation Center,Cops & Kids Billiards and Brain Games,Community Based Event,Academic/Out of School time,,Children,55,1
Recreation,,8/17/2018 20:00,Brooklyn,Playground,John Hancock Playground,"Movies Under the Stars "" Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,240,3
Recreation,,8/16/2018 20:00,Brooklyn,Playground,Colonel David Marcus Playground,"Movies Under the Stars "" Toy Story 3""",Community Based Event,Mobile Unit,Movies,General Public,400,4
Recreation,,8/19/2018 20:00,Manhattan,Park,Randall's Island Park,"Movies Under the Stars "" Guardians of the Galaxy""",Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,,8/15/2018 20:00,Brooklyn,Playground,Osborn Playground,"Movies Under the Stars "" Black Panther """,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,8/18/2018 20:00,Bronx,Park,Mullaly Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/17/2018 10:00,Bronx,Park,Van Nest Park,Play Fun Day,Agency Produced Event,Mobile Unit,Play,Children,13,1
Recreation,,8/16/2018 11:00,Bronx,Other,St Andrews Church,Play & Picnic Day,Agency Produced Event,Mobile Unit,Play,Children,65,2
Recreation,,8/15/2018 11:00,Bronx,Park,Crotona Park,Graham's Back to School & Family Fun Day,Community Based Event,Mobile Unit,Play,Children;#General Public,20,1
Recreation,,8/7/2018 16:00,Bronx,Other,48th Precinct,National Night Out,Agency Produced Event,Mobile Unit,Play,Children;#General Public,200,3
Recreation,,7/28/2018 10:00,Bronx,Other,3920 Paulding Avenue,11th Annual Educational Street Fair,Agency Produced Event,Mobile Unit,Play,Children;#General Public,12,1
Recreation,Council Member Gibson,8/17/2018 20:00,Bronx,Park,Joyce Kilmer Park,Movies Under The Stars: Avenger's: Infinity War's,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,7/24/2018 8:00,Bronx,Park,Van Cortlandt Park,Harmony Day,Agency Produced Event,Mobile Unit,,Children;#General Public,300,4
Recreation,,8/17/2018 20:00,Bronx,Park,Ferry Point Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/16/2018 20:00,Bronx,Other,Frank Frisch Field,Movies Under The Stars: A Dog's Purpose,Community Based Event,Mobile Unit,Movies,General Public,64,2
Recreation,,8/16/2018 18:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,AC&F Paint Night,Community Based Event,Arts/Culture,AC&F,General Public,21,1
Recreation,,8/16/2018 18:00,Manhattan,Playground,Samuel Seabury Playground,Movies Under the Stars - The Fantastic Mr. Fox,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,8/15/2018 18:00,Manhattan,Playground,James Weldon Johnson Playground,Movies Under the Stars - Nutty by Nature,Community Based Event,Mobile Unit,Movies,General Public,86,2
Recreation,,8/14/2018 18:00,Manhattan,Playground,Henry M. Jackson Playground,Movies Under the Stars - Gremlins,Community Based Event,Mobile Unit,Movies,General Public,61,2
Recreation,,8/10/2018 18:00,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,Community Based Event,Mobile Unit,Movies,General Public,55,2
Recreation,,8/10/2018 6:00,Manhattan,Playground,Twenty Four Sycamores Playground,Movies Under the Stars - Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,99,3
Recreation,,8/10/2018 4:00,Manhattan,Park,Ruppert Park,Concert: The Blue Dahlia,Community Based Event,Arts/Culture,Music,General Public,216,3
Recreation,,8/9/2018 18:00,Manhattan,Playground,Matthew P. Sapolin Playground,Movies Under the Stars - Isle of Dogs,Community Based Event,Mobile Unit,Movies,General Public,315,4
Recreation,Arts Student League,8/16/2018 18:00,Manhattan,Recreation Center,Rooftop,Make Your Mark - Rooftop Painting,Community Based Event,Arts/Culture,AC&F,Young Adult;#Adults;#Adaptive;#Seniors;#General Public,21,1
Recreation,,8/15/2018 20:00,Bronx,Park,Barretto Point Park,Movies Under The Stars: Pirates Of The Caribbean: Dead Men Tell No Tales,Community Based Event,Mobile Unit,Movies,General Public,31,1
Recreation,,8/15/2018 20:30,Queens,Park,Juniper Valley Park,"Movies Under the Stars ""The Incredibles""",Community Based Event,Mobile Unit,Movies,General Public,193,3
Recreation,,10/6/2017 18:00,Bronx,Park,Virginia Park,"Arts, Culture & Fun: Chess Night at Virginia Park",Local Event,Arts/Culture,AC&F,General Public,25,1
Recreation,,10/13/2017 18:00,Bronx,Park,Virginia Park,"Art, Culture & Fun: Photo Night at Virginia Park",Local Event,Arts/Culture,AC&F,General Public,25,1
Recreation,,10/20/2017 18:00,Bronx,Park,Virginia Park,"Art, Culture & Fun: Drum Circle",Local Event,Arts/Culture,AC&F,General Public,20,1
Recreation,,10/27/2017 18:00,Bronx,Park,Virginia Park,"Art, Culture & Fun: Dia de los Muertos Celebration at Virginia park",Local Event,Arts/Culture,AC&F,General Public,100,3
Recreation,,10/22/2017 18:00,Bronx,Park,Concrete Plant Park,"Art, Culture & Fun: Community Art Day at Concrete Plant Park",Local Event,Arts/Culture,AC&F,Teens;#Young Adult;#Adults;#Seniors,30,1
Recreation,PfP and Coalicion Mexicana,10/28/2017 18:00,Bronx,Recreation Center,St. Mary's Recreation Center,"Art, Culture & Fun: Dia de los Muertos at St. Mary's Park",Local Event,Arts/Culture,AC&F,General Public,350,4
Recreation,,11/4/2017 19:00,Bronx,Recreation Center,St. James Recreation Center,"Art, Culture & Fun: Quilting Memories Exhibition",Local Event,Arts/Culture,AC&F,General Public,17,1
Recreation,,11/4/2017 18:00,Bronx,Recreation Center,St. James Recreation Center,"Art, Culture & Fun: Quilting Memories Workshop",Local Event,Arts/Culture,AC&F,Seniors;#Adults;#Young Adult,120,3
Recreation,,10/21/2017 10:00,Staten Island,Playground,Cedar Grove Playground,Pooch Parade,Local Event,Performance,Play,General Public,40,2
Recreation,,10/17/2017 10:00,Staten Island,Recreation Center,Greenbelt Recreation Center,Bea Victor Senoir Olympics,Tournament/Competition,Sport,Tier 3,Seniors,125,3
Recreation,Council Member Salamanca,8/13/2018 20:00,Bronx,Playground,Playground 52 LII,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/11/2018 20:00,Bronx,Park,Soundview Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,0,1
