Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,8/4/2018 20:15,Bronx,Park,Crotona Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,33,1
Recreation,,8/4/2018 18:00,Manhattan,Park,Inwood Hill Park,Movies Under the Stars - Valerian City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,157,3
Recreation,Halen Historic Parks,8/3/2018 18:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Movies Under the Stars - The Jackie Robinson Story,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,Council Member Rivera,8/3/2018 12:00,Manhattan,Park,Tompkins Square Park,Family Fun Day,Community Based Event,Family Festival,Play,General Public,415,4
Recreation,,8/2/2018 11:00,Manhattan,Park,Marcus Garvey Park,Iron Kid,Tournament/Competition,Fitness,Fitness,Children,157,3
Recreation,,8/1/2018 18:00,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars - Gifted,Community Based Event,Mobile Unit,Movies,General Public,146,3
Recreation,"Strictly Tango, Washington Square Park Conservancy",7/31/2018 18:00,Manhattan,Park,Washington Square Park,Strictly Tango at Washington Square Park Live Music,Community Based Event,Arts/Culture,Dance,Adults;#Seniors,275,4
Recreation,,7/31/2018 20:00,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars - Justice League,Community Based Event,Mobile Unit,Movies,General Public,153,3
Recreation,,8/3/2018 20:30,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Chariots of Fire,Community Based Event,Mobile Unit,Movies,General Public,25,1
Recreation,,8/1/2018 20:30,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: The King and I,Community Based Event,Mobile Unit,Movies,General Public,4,1
Recreation,,7/19/2018 20:30,Staten Island,Park,Westerleigh Park,Movies Under the Stars: The Lorax,Community Based Event,Mobile Unit,Movies,General Public,40,2
Recreation,,7/19/2018 0:00,Staten Island,Park,Lemon Creek Park,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,175,3
Recreation,,8/3/2018 20:15,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Early Man,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,Council Member Gibson,8/3/2018 20:15,Bronx,Park,Mullaly Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,64,2
Recreation,,8/2/2018 20:15,Bronx,Park,Haffen Park,Movies Under The Stars: Remember The Titans,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,7/20/2018 21:00,Staten Island,Park,De Matti Park,Movies Under the Stars: Flubber,Community Based Event,Mobile Unit,Movies,General Public,40,2
Recreation,,7/20/2018 21:00,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: TMNT: Out of the Shadows,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,7/20/2018 21:00,Staten Island,Park,Conference House Park,Movies Under the Stars:Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,8/3/2018 20:30,Queens,Park,Crocheron Park,"Movies Under the Stars ""Justice League""",Community Based Event,Mobile Unit,Movies,General Public,118,3
Recreation,,7/24/2018 20:30,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,140,3
Recreation,,6/16/2018 20:30,Queens,Playground,Electric Playground,MUTS - Moana,Community Based Event,Mobile Unit,Movies,General Public,138,3
Recreation,,7/25/2018 20:30,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bye Bye Birdie,Community Based Event,Mobile Unit,Movies,General Public,5,1
Recreation,,7/26/2018 20:30,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Jurassic,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,7/27/2018 20:30,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Pitch Perfect 2,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,7/28/2018 20:30,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,45,2
Recreation,,7/28/2018 20:30,Staten Island,Other,Timoshenko,Movies Under the Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,7/31/2018 20:30,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Pirates of the Caribbean,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,,8/2/2018 20:00,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor : Ragnarok""",Community Based Event,Mobile Unit,Movies,General Public,200,4
Recreation,,8/1/2018 20:15,Bronx,Playground,Loreto Playground,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,44,2
Recreation,Councilman Cohen,7/31/2018 20:15,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: The Lion King,Community Based Event,Mobile Unit,Movies,General Public,236,4
Recreation,,7/31/2018 11:00,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Justice League & Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,250,4
Recreation,,7/28/2018 20:30,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,,7/26/2018 20:15,Bronx,Recreation Center,Hunts Point Recreation Center,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,54,2
Recreation,,8/1/2018 20:30,Queens,Park,Flushing Meadows Corona Park,"Movies Under the Stars ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,327,4
Recreation,,7/28/2018 20:00,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,96,2
Recreation,,8/1/2018 18:00,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars: Gifted,Community Based Event,Mobile Unit,Movies,General Public,146,3
Recreation,,7/31/2018 18:00,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights!,Community Based Event,Performance,Dance,General Public,285,4
Recreation,,7/31/2018 20:00,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,153,3
Recreation,,7/31/2018 8:30,Queens,Park,Yellowstone Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,167,3
Recreation,,7/30/2018 20:00,Brooklyn,Playground,50 Kent,Movies Under the Stars: King Kong,Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,7/30/2018 20:30,Queens,Park,Highland Park,"Movies Under the Stars ""The Incredibles""",Community Based Event,Mobile Unit,Movies,General Public,314,4
Recreation,,7/29/2018 20:30,Queens,Other,Beach 94th Street,"Movies Under the Stars ""The Little Mermaid""",Community Based Event,Mobile Unit,Movies,General Public,260,4
Recreation,,7/28/2018 20:30,Queens,Park,O'Donohue Park,"Movies Under the Stars ""Star Wars: The Last Jedi""",Community Based Event,Mobile Unit,Movies,General Public,216,3
Recreation,,7/27/2018 20:30,Queens,Playground,Playground for All Children,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,7/28/2018 20:00,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,95,2
Recreation,,7/26/2018 20:00,Manhattan,Playground,Asser Levy Playground,Movies Under the Stars: Loving Vincent And Paint Night,Community Based Event,Mobile Unit,Movies,General Public,215,3
Recreation,,7/24/2018 18:00,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights!,Community Based Event,Arts/Culture,Dance,General Public,175,3
Recreation,,7/24/2018 20:00,Manhattan,Playground,Nathan Straus Playground,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,45,2
Recreation,,10/31/2017 18:00,Brooklyn,Recreation Center,McCarren Play Center,Tots Halloween Event,Local Event,Arts/Culture,Play,Tot;#Children,80,2
Recreation,,10/28/2017 17:00,Staten Island,Park,Clove Lakes Park,Howl-oween Event,Local Event,Arts/Culture,Play,Children;#Young Adult;#Teens;#Adults,130,3
Recreation,,10/31/2017 18:00,Staten Island,Playground,Cedar Grove Playground,Haunting We Will Go,Local Event,Arts/Culture,Play,Tot;#Children;#Young Adult;#Adults;#Teens,80,2
Recreation,,11/4/2017 10:00,Staten Island,Park,Macombs Dam Park,Citywide Flag Football Championship,Tournament/Competition,Sport,Tier 1,Tot;#Teens,400,4
Recreation,,11/4/2017 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Citywide Flag Football Championship,Tournament/Competition,Sport,Tier 1,Teens;#Children,400,4
Recreation,,7/28/2018 20:00,Brooklyn,Park,Marine Park,Movies Under the Stars : The Incredibles,Community Based Event,Mobile Unit,Movies,General Public,170,3
Recreation,,6/27/2018 20:30,Bronx,Recreation Center,Hunts Point Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,63,2
Recreation,,5/26/2018 20:15,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,31,2
Recreation,,7/28/2018 10:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Learn to play Pickleball,Community Based Event,Sport,Tier 3,Teens;#Seniors;#Adults;#Young Adult;#Children;#Tot,11,1
Recreation,,7/26/2018 20:30,Queens,Park,Alley Pond Park,"Movies Under the Stars ""Zootopia""",Community Based Event,Mobile Unit,Movies,General Public,412,4
Recreation,,7/27/2018 20:30,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Leap,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,Council Member Gibson,7/27/2018 20:30,Bronx,Playground,Merriam Playground,Movies Under The Stars: A Wrinkle In Time,Community Based Event,Mobile Unit,Movies,General Public,0,1
